STEP, BUS(name, type, x, y, n.pass, root, leader), BUSSTOP(name, x, y, queue)
1,[Bus_0<man>:[x=8 ,y=8]-[PAX=2],Bus_1<man>:[x=0 ,y=0]-[PAX=0],Bus_RB_2<robot>:[x=8 ,y=8]-[PAX=0],Bus_RB_3<robot>:[x=1 ,y=1]-[PAX=0],Bus_RB_4<robot>:[x=8 ,y=8]-[PAX=0],Bus_RB_5<robot>:[x=1 ,y=1]-[PAX=0],Bus_RB_6<robot>:[x=8 ,y=8]-[PAX=0],Bus_RB_7<robot>:[x=1 ,y=1]-[PAX=0],Bus_RB_8<robot>:[x=8 ,y=8]-[PAX=0],Bus_RB_9<robot>:[x=1 ,y=1]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=0],BusStop_4:[x=4 ,y=4]-[QLine=3],BusStop_3:[x=8 ,y=0]-[QLine=5],BusStop_2:[x=8 ,y=8]-[QLine=0],BusStop_1:[x=0 ,y=8]-[QLine=0]]
60,[Bus_0<man>:[x=5 ,y=3]-[PAX=10],Bus_1<man>:[x=3 ,y=5]-[PAX=10],Bus_RB_2<robot>:[x=5 ,y=3]-[PAX=10],Bus_RB_3<robot>:[x=5 ,y=3]-[PAX=10],Bus_RB_4<robot>:[x=5 ,y=3]-[PAX=10],Bus_RB_5<robot>:[x=5 ,y=3]-[PAX=10],Bus_RB_6<robot>:[x=5 ,y=3]-[PAX=10],Bus_RB_7<robot>:[x=3 ,y=5]-[PAX=10],Bus_RB_8<robot>:[x=3 ,y=5]-[PAX=8],Bus_RB_9<robot>:[x=3 ,y=5]-[PAX=2]],[BusStop_0:[x=0 ,y=0]-[QLine=5],BusStop_4:[x=4 ,y=4]-[QLine=126],BusStop_3:[x=8 ,y=0]-[QLine=78],BusStop_2:[x=8 ,y=8]-[QLine=26],BusStop_1:[x=0 ,y=8]-[QLine=3]]
61,[Bus_0<man>:[x=4 ,y=4]-[PAX=10],Bus_1<man>:[x=4 ,y=4]-[PAX=10],Bus_RB_2<robot>:[x=4 ,y=4]-[PAX=10],Bus_RB_3<robot>:[x=4 ,y=4]-[PAX=9],Bus_RB_4<robot>:[x=4 ,y=4]-[PAX=1],Bus_RB_5<robot>:[x=4 ,y=4]-[PAX=1],Bus_RB_6<robot>:[x=4 ,y=4]-[PAX=0],Bus_RB_7<robot>:[x=4 ,y=4]-[PAX=10],Bus_RB_8<robot>:[x=4 ,y=4]-[PAX=10],Bus_RB_9<robot>:[x=4 ,y=4]-[PAX=10]],[BusStop_0:[x=0 ,y=0]-[QLine=6],BusStop_4:[x=4 ,y=4]-[QLine=124],BusStop_3:[x=8 ,y=0]-[QLine=80],BusStop_2:[x=8 ,y=8]-[QLine=29],BusStop_1:[x=0 ,y=8]-[QLine=3]]
62,[Bus_0<man>:[x=5 ,y=5]-[PAX=10],Bus_1<man>:[x=3 ,y=3]-[PAX=10],Bus_RB_2<robot>:[x=5 ,y=5]-[PAX=10],Bus_RB_3<robot>:[x=5 ,y=5]-[PAX=9],Bus_RB_4<robot>:[x=5 ,y=5]-[PAX=1],Bus_RB_5<robot>:[x=5 ,y=5]-[PAX=1],Bus_RB_6<robot>:[x=5 ,y=5]-[PAX=0],Bus_RB_7<robot>:[x=3 ,y=3]-[PAX=10],Bus_RB_8<robot>:[x=3 ,y=3]-[PAX=10],Bus_RB_9<robot>:[x=3 ,y=3]-[PAX=10]],[BusStop_0:[x=0 ,y=0]-[QLine=6],BusStop_4:[x=4 ,y=4]-[QLine=127],BusStop_3:[x=8 ,y=0]-[QLine=83],BusStop_2:[x=8 ,y=8]-[QLine=33],BusStop_1:[x=0 ,y=8]-[QLine=3]]
63,[Bus_0<man>:[x=6 ,y=6]-[PAX=10],Bus_1<man>:[x=2 ,y=2]-[PAX=10],Bus_RB_2<robot>:[x=6 ,y=6]-[PAX=10],Bus_RB_3<robot>:[x=6 ,y=6]-[PAX=9],Bus_RB_4<robot>:[x=6 ,y=6]-[PAX=1],Bus_RB_5<robot>:[x=6 ,y=6]-[PAX=1],Bus_RB_6<robot>:[x=6 ,y=6]-[PAX=0],Bus_RB_7<robot>:[x=2 ,y=2]-[PAX=10],Bus_RB_8<robot>:[x=2 ,y=2]-[PAX=10],Bus_RB_9<robot>:[x=2 ,y=2]-[PAX=10]],[BusStop_0:[x=0 ,y=0]-[QLine=8],BusStop_4:[x=4 ,y=4]-[QLine=129],BusStop_3:[x=8 ,y=0]-[QLine=86],BusStop_2:[x=8 ,y=8]-[QLine=34],BusStop_1:[x=0 ,y=8]-[QLine=5]]
64,[Bus_0<man>:[x=7 ,y=7]-[PAX=10],Bus_1<man>:[x=1 ,y=1]-[PAX=10],Bus_RB_2<robot>:[x=7 ,y=7]-[PAX=10],Bus_RB_3<robot>:[x=7 ,y=7]-[PAX=9],Bus_RB_4<robot>:[x=7 ,y=7]-[PAX=1],Bus_RB_5<robot>:[x=7 ,y=7]-[PAX=1],Bus_RB_6<robot>:[x=7 ,y=7]-[PAX=0],Bus_RB_7<robot>:[x=1 ,y=1]-[PAX=10],Bus_RB_8<robot>:[x=1 ,y=1]-[PAX=10],Bus_RB_9<robot>:[x=1 ,y=1]-[PAX=10]],[BusStop_0:[x=0 ,y=0]-[QLine=9],BusStop_4:[x=4 ,y=4]-[QLine=131],BusStop_3:[x=8 ,y=0]-[QLine=91],BusStop_2:[x=8 ,y=8]-[QLine=36],BusStop_1:[x=0 ,y=8]-[QLine=5]]
65,[Bus_0<man>:[x=8 ,y=8]-[PAX=10],Bus_1<man>:[x=0 ,y=0]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=8]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=8]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=8]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=8]-[PAX=9],Bus_RB_6<robot>:[x=8 ,y=8]-[PAX=0],Bus_RB_7<robot>:[x=0 ,y=0]-[PAX=9],Bus_RB_8<robot>:[x=0 ,y=0]-[PAX=5],Bus_RB_9<robot>:[x=0 ,y=0]-[PAX=7]],[BusStop_0:[x=0 ,y=0]-[QLine=0],BusStop_4:[x=4 ,y=4]-[QLine=133],BusStop_3:[x=8 ,y=0]-[QLine=97],BusStop_2:[x=8 ,y=8]-[QLine=0],BusStop_1:[x=0 ,y=8]-[QLine=5]]
66,[Bus_0<man>:[x=8 ,y=7]-[PAX=10],Bus_1<man>:[x=0 ,y=1]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=7]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=7]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=7]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=7]-[PAX=9],Bus_RB_6<robot>:[x=7 ,y=7]-[PAX=0],Bus_RB_7<robot>:[x=0 ,y=1]-[PAX=9],Bus_RB_8<robot>:[x=0 ,y=1]-[PAX=5],Bus_RB_9<robot>:[x=0 ,y=1]-[PAX=7]],[BusStop_0:[x=0 ,y=0]-[QLine=1],BusStop_4:[x=4 ,y=4]-[QLine=135],BusStop_3:[x=8 ,y=0]-[QLine=103],BusStop_2:[x=8 ,y=8]-[QLine=1],BusStop_1:[x=0 ,y=8]-[QLine=5]]
67,[Bus_0<man>:[x=8 ,y=6]-[PAX=10],Bus_1<man>:[x=0 ,y=2]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=6]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=6]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=6]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=6]-[PAX=9],Bus_RB_6<robot>:[x=6 ,y=6]-[PAX=0],Bus_RB_7<robot>:[x=0 ,y=2]-[PAX=9],Bus_RB_8<robot>:[x=0 ,y=2]-[PAX=5],Bus_RB_9<robot>:[x=0 ,y=2]-[PAX=7]],[BusStop_0:[x=0 ,y=0]-[QLine=2],BusStop_4:[x=4 ,y=4]-[QLine=139],BusStop_3:[x=8 ,y=0]-[QLine=105],BusStop_2:[x=8 ,y=8]-[QLine=3],BusStop_1:[x=0 ,y=8]-[QLine=6]]
68,[Bus_0<man>:[x=8 ,y=5]-[PAX=10],Bus_1<man>:[x=0 ,y=3]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=5]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=5]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=5]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=5]-[PAX=9],Bus_RB_6<robot>:[x=7 ,y=5]-[PAX=0],Bus_RB_7<robot>:[x=0 ,y=3]-[PAX=9],Bus_RB_8<robot>:[x=0 ,y=3]-[PAX=5],Bus_RB_9<robot>:[x=0 ,y=3]-[PAX=7]],[BusStop_0:[x=0 ,y=0]-[QLine=3],BusStop_4:[x=4 ,y=4]-[QLine=142],BusStop_3:[x=8 ,y=0]-[QLine=107],BusStop_2:[x=8 ,y=8]-[QLine=7],BusStop_1:[x=0 ,y=8]-[QLine=6]]
69,[Bus_0<man>:[x=8 ,y=4]-[PAX=10],Bus_1<man>:[x=0 ,y=4]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=4]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=4]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=4]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=4]-[PAX=9],Bus_RB_6<robot>:[x=8 ,y=4]-[PAX=0],Bus_RB_7<robot>:[x=0 ,y=4]-[PAX=9],Bus_RB_8<robot>:[x=0 ,y=4]-[PAX=5],Bus_RB_9<robot>:[x=0 ,y=4]-[PAX=7]],[BusStop_0:[x=0 ,y=0]-[QLine=4],BusStop_4:[x=4 ,y=4]-[QLine=143],BusStop_3:[x=8 ,y=0]-[QLine=110],BusStop_2:[x=8 ,y=8]-[QLine=10],BusStop_1:[x=0 ,y=8]-[QLine=8]]
70,[Bus_0<man>:[x=8 ,y=3]-[PAX=10],Bus_1<man>:[x=0 ,y=5]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=3]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=3]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=3]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=3]-[PAX=9],Bus_RB_6<robot>:[x=8 ,y=3]-[PAX=0],Bus_RB_7<robot>:[x=0 ,y=5]-[PAX=9],Bus_RB_8<robot>:[x=0 ,y=5]-[PAX=5],Bus_RB_9<robot>:[x=0 ,y=5]-[PAX=7]],[BusStop_0:[x=0 ,y=0]-[QLine=6],BusStop_4:[x=4 ,y=4]-[QLine=146],BusStop_3:[x=8 ,y=0]-[QLine=114],BusStop_2:[x=8 ,y=8]-[QLine=11],BusStop_1:[x=0 ,y=8]-[QLine=8]]
71,[Bus_0<man>:[x=8 ,y=2]-[PAX=10],Bus_1<man>:[x=0 ,y=6]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=2]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=2]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=2]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=2]-[PAX=9],Bus_RB_6<robot>:[x=8 ,y=2]-[PAX=0],Bus_RB_7<robot>:[x=0 ,y=6]-[PAX=9],Bus_RB_8<robot>:[x=0 ,y=6]-[PAX=5],Bus_RB_9<robot>:[x=0 ,y=6]-[PAX=7]],[BusStop_0:[x=0 ,y=0]-[QLine=7],BusStop_4:[x=4 ,y=4]-[QLine=149],BusStop_3:[x=8 ,y=0]-[QLine=116],BusStop_2:[x=8 ,y=8]-[QLine=15],BusStop_1:[x=0 ,y=8]-[QLine=8]]
72,[Bus_0<man>:[x=8 ,y=1]-[PAX=10],Bus_1<man>:[x=0 ,y=7]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=1]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=1]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=1]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=1]-[PAX=9],Bus_RB_6<robot>:[x=8 ,y=1]-[PAX=0],Bus_RB_7<robot>:[x=0 ,y=7]-[PAX=9],Bus_RB_8<robot>:[x=0 ,y=7]-[PAX=5],Bus_RB_9<robot>:[x=0 ,y=7]-[PAX=7]],[BusStop_0:[x=0 ,y=0]-[QLine=8],BusStop_4:[x=4 ,y=4]-[QLine=151],BusStop_3:[x=8 ,y=0]-[QLine=119],BusStop_2:[x=8 ,y=8]-[QLine=18],BusStop_1:[x=0 ,y=8]-[QLine=9]]
73,[Bus_0<man>:[x=8 ,y=0]-[PAX=10],Bus_1<man>:[x=0 ,y=8]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_6<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_7<robot>:[x=0 ,y=8]-[PAX=9],Bus_RB_8<robot>:[x=0 ,y=8]-[PAX=0],Bus_RB_9<robot>:[x=0 ,y=8]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=9],BusStop_4:[x=4 ,y=4]-[QLine=155],BusStop_3:[x=8 ,y=0]-[QLine=88],BusStop_2:[x=8 ,y=8]-[QLine=19],BusStop_1:[x=0 ,y=8]-[QLine=0]]
74,[Bus_0<man>:[x=7 ,y=1]-[PAX=10],Bus_1<man>:[x=1 ,y=7]-[PAX=10],Bus_RB_2<robot>:[x=7 ,y=1]-[PAX=10],Bus_RB_3<robot>:[x=7 ,y=1]-[PAX=10],Bus_RB_4<robot>:[x=7 ,y=1]-[PAX=10],Bus_RB_5<robot>:[x=7 ,y=1]-[PAX=10],Bus_RB_6<robot>:[x=7 ,y=1]-[PAX=10],Bus_RB_7<robot>:[x=1 ,y=7]-[PAX=9],Bus_RB_8<robot>:[x=1 ,y=7]-[PAX=0],Bus_RB_9<robot>:[x=1 ,y=7]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=11],BusStop_4:[x=4 ,y=4]-[QLine=156],BusStop_3:[x=8 ,y=0]-[QLine=94],BusStop_2:[x=8 ,y=8]-[QLine=19],BusStop_1:[x=0 ,y=8]-[QLine=1]]
75,[Bus_0<man>:[x=6 ,y=2]-[PAX=10],Bus_1<man>:[x=2 ,y=6]-[PAX=10],Bus_RB_2<robot>:[x=6 ,y=2]-[PAX=10],Bus_RB_3<robot>:[x=6 ,y=2]-[PAX=10],Bus_RB_4<robot>:[x=6 ,y=2]-[PAX=10],Bus_RB_5<robot>:[x=6 ,y=2]-[PAX=10],Bus_RB_6<robot>:[x=6 ,y=2]-[PAX=10],Bus_RB_7<robot>:[x=2 ,y=6]-[PAX=9],Bus_RB_8<robot>:[x=2 ,y=6]-[PAX=0],Bus_RB_9<robot>:[x=2 ,y=6]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=12],BusStop_4:[x=4 ,y=4]-[QLine=157],BusStop_3:[x=8 ,y=0]-[QLine=99],BusStop_2:[x=8 ,y=8]-[QLine=22],BusStop_1:[x=0 ,y=8]-[QLine=1]]
76,[Bus_0<man>:[x=5 ,y=3]-[PAX=10],Bus_1<man>:[x=3 ,y=5]-[PAX=10],Bus_RB_2<robot>:[x=5 ,y=3]-[PAX=10],Bus_RB_3<robot>:[x=5 ,y=3]-[PAX=10],Bus_RB_4<robot>:[x=5 ,y=3]-[PAX=10],Bus_RB_5<robot>:[x=5 ,y=3]-[PAX=10],Bus_RB_6<robot>:[x=5 ,y=3]-[PAX=10],Bus_RB_7<robot>:[x=3 ,y=5]-[PAX=9],Bus_RB_8<robot>:[x=3 ,y=5]-[PAX=0],Bus_RB_9<robot>:[x=3 ,y=5]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=12],BusStop_4:[x=4 ,y=4]-[QLine=160],BusStop_3:[x=8 ,y=0]-[QLine=101],BusStop_2:[x=8 ,y=8]-[QLine=26],BusStop_1:[x=0 ,y=8]-[QLine=2]]
77,[Bus_0<man>:[x=4 ,y=4]-[PAX=10],Bus_1<man>:[x=4 ,y=4]-[PAX=10],Bus_RB_2<robot>:[x=4 ,y=4]-[PAX=10],Bus_RB_3<robot>:[x=4 ,y=4]-[PAX=10],Bus_RB_4<robot>:[x=4 ,y=4]-[PAX=10],Bus_RB_5<robot>:[x=4 ,y=4]-[PAX=2],Bus_RB_6<robot>:[x=4 ,y=4]-[PAX=1],Bus_RB_7<robot>:[x=4 ,y=4]-[PAX=10],Bus_RB_8<robot>:[x=4 ,y=4]-[PAX=5],Bus_RB_9<robot>:[x=4 ,y=4]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=12],BusStop_4:[x=4 ,y=4]-[QLine=153],BusStop_3:[x=8 ,y=0]-[QLine=103],BusStop_2:[x=8 ,y=8]-[QLine=28],BusStop_1:[x=0 ,y=8]-[QLine=3]]
78,[Bus_0<man>:[x=5 ,y=5]-[PAX=10],Bus_1<man>:[x=3 ,y=3]-[PAX=10],Bus_RB_2<robot>:[x=5 ,y=5]-[PAX=10],Bus_RB_3<robot>:[x=5 ,y=5]-[PAX=10],Bus_RB_4<robot>:[x=5 ,y=5]-[PAX=10],Bus_RB_5<robot>:[x=5 ,y=5]-[PAX=2],Bus_RB_6<robot>:[x=5 ,y=5]-[PAX=1],Bus_RB_7<robot>:[x=3 ,y=3]-[PAX=10],Bus_RB_8<robot>:[x=5 ,y=5]-[PAX=5],Bus_RB_9<robot>:[x=3 ,y=3]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=14],BusStop_4:[x=4 ,y=4]-[QLine=155],BusStop_3:[x=8 ,y=0]-[QLine=107],BusStop_2:[x=8 ,y=8]-[QLine=30],BusStop_1:[x=0 ,y=8]-[QLine=3]]
79,[Bus_0<man>:[x=6 ,y=6]-[PAX=10],Bus_1<man>:[x=2 ,y=2]-[PAX=10],Bus_RB_2<robot>:[x=6 ,y=6]-[PAX=10],Bus_RB_3<robot>:[x=6 ,y=6]-[PAX=10],Bus_RB_4<robot>:[x=6 ,y=6]-[PAX=10],Bus_RB_5<robot>:[x=6 ,y=6]-[PAX=2],Bus_RB_6<robot>:[x=6 ,y=6]-[PAX=1],Bus_RB_7<robot>:[x=2 ,y=2]-[PAX=10],Bus_RB_8<robot>:[x=6 ,y=6]-[PAX=5],Bus_RB_9<robot>:[x=2 ,y=2]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=14],BusStop_4:[x=4 ,y=4]-[QLine=155],BusStop_3:[x=8 ,y=0]-[QLine=110],BusStop_2:[x=8 ,y=8]-[QLine=36],BusStop_1:[x=0 ,y=8]-[QLine=4]]
80,[Bus_0<man>:[x=7 ,y=7]-[PAX=10],Bus_1<man>:[x=1 ,y=1]-[PAX=10],Bus_RB_2<robot>:[x=7 ,y=7]-[PAX=10],Bus_RB_3<robot>:[x=7 ,y=7]-[PAX=10],Bus_RB_4<robot>:[x=7 ,y=7]-[PAX=10],Bus_RB_5<robot>:[x=7 ,y=7]-[PAX=2],Bus_RB_6<robot>:[x=7 ,y=7]-[PAX=1],Bus_RB_7<robot>:[x=1 ,y=1]-[PAX=10],Bus_RB_8<robot>:[x=7 ,y=7]-[PAX=5],Bus_RB_9<robot>:[x=1 ,y=1]-[PAX=0]],[BusStop_0:[x=0 ,y=0]-[QLine=14],BusStop_4:[x=4 ,y=4]-[QLine=157],BusStop_3:[x=8 ,y=0]-[QLine=115],BusStop_2:[x=8 ,y=8]-[QLine=39],BusStop_1:[x=0 ,y=8]-[QLine=4]]
81,[Bus_0<man>:[x=8 ,y=8]-[PAX=10],Bus_1<man>:[x=0 ,y=0]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=8]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=8]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=8]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=8]-[PAX=10],Bus_RB_6<robot>:[x=8 ,y=8]-[PAX=10],Bus_RB_7<robot>:[x=0 ,y=0]-[PAX=10],Bus_RB_8<robot>:[x=8 ,y=8]-[PAX=5],Bus_RB_9<robot>:[x=0 ,y=0]-[PAX=2]],[BusStop_0:[x=0 ,y=0]-[QLine=0],BusStop_4:[x=4 ,y=4]-[QLine=158],BusStop_3:[x=8 ,y=0]-[QLine=119],BusStop_2:[x=8 ,y=8]-[QLine=0],BusStop_1:[x=0 ,y=8]-[QLine=5]]
82,[Bus_0<man>:[x=8 ,y=7]-[PAX=10],Bus_1<man>:[x=0 ,y=1]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=7]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=7]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=7]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=7]-[PAX=10],Bus_RB_6<robot>:[x=8 ,y=7]-[PAX=10],Bus_RB_7<robot>:[x=0 ,y=1]-[PAX=10],Bus_RB_8<robot>:[x=8 ,y=7]-[PAX=5],Bus_RB_9<robot>:[x=0 ,y=1]-[PAX=2]],[BusStop_0:[x=0 ,y=0]-[QLine=0],BusStop_4:[x=4 ,y=4]-[QLine=160],BusStop_3:[x=8 ,y=0]-[QLine=123],BusStop_2:[x=8 ,y=8]-[QLine=4],BusStop_1:[x=0 ,y=8]-[QLine=5]]
83,[Bus_0<man>:[x=8 ,y=6]-[PAX=10],Bus_1<man>:[x=0 ,y=2]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=6]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=6]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=6]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=6]-[PAX=10],Bus_RB_6<robot>:[x=8 ,y=6]-[PAX=10],Bus_RB_7<robot>:[x=0 ,y=2]-[PAX=10],Bus_RB_8<robot>:[x=8 ,y=6]-[PAX=5],Bus_RB_9<robot>:[x=0 ,y=2]-[PAX=2]],[BusStop_0:[x=0 ,y=0]-[QLine=0],BusStop_4:[x=4 ,y=4]-[QLine=163],BusStop_3:[x=8 ,y=0]-[QLine=127],BusStop_2:[x=8 ,y=8]-[QLine=7],BusStop_1:[x=0 ,y=8]-[QLine=5]]
84,[Bus_0<man>:[x=8 ,y=5]-[PAX=10],Bus_1<man>:[x=0 ,y=3]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=5]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=5]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=5]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=5]-[PAX=10],Bus_RB_6<robot>:[x=8 ,y=5]-[PAX=10],Bus_RB_7<robot>:[x=0 ,y=3]-[PAX=10],Bus_RB_8<robot>:[x=8 ,y=5]-[PAX=5],Bus_RB_9<robot>:[x=0 ,y=3]-[PAX=2]],[BusStop_0:[x=0 ,y=0]-[QLine=0],BusStop_4:[x=4 ,y=4]-[QLine=165],BusStop_3:[x=8 ,y=0]-[QLine=131],BusStop_2:[x=8 ,y=8]-[QLine=11],BusStop_1:[x=0 ,y=8]-[QLine=5]]
85,[Bus_0<man>:[x=8 ,y=4]-[PAX=10],Bus_1<man>:[x=0 ,y=4]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=4]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=4]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=4]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=4]-[PAX=10],Bus_RB_6<robot>:[x=8 ,y=4]-[PAX=10],Bus_RB_7<robot>:[x=0 ,y=4]-[PAX=10],Bus_RB_8<robot>:[x=8 ,y=4]-[PAX=5],Bus_RB_9<robot>:[x=0 ,y=4]-[PAX=2]],[BusStop_0:[x=0 ,y=0]-[QLine=1],BusStop_4:[x=4 ,y=4]-[QLine=166],BusStop_3:[x=8 ,y=0]-[QLine=138],BusStop_2:[x=8 ,y=8]-[QLine=12],BusStop_1:[x=0 ,y=8]-[QLine=5]]
86,[Bus_0<man>:[x=8 ,y=3]-[PAX=10],Bus_1<man>:[x=0 ,y=5]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=3]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=3]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=3]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=3]-[PAX=10],Bus_RB_6<robot>:[x=8 ,y=3]-[PAX=10],Bus_RB_7<robot>:[x=0 ,y=5]-[PAX=10],Bus_RB_8<robot>:[x=8 ,y=3]-[PAX=5],Bus_RB_9<robot>:[x=0 ,y=5]-[PAX=2]],[BusStop_0:[x=0 ,y=0]-[QLine=2],BusStop_4:[x=4 ,y=4]-[QLine=171],BusStop_3:[x=8 ,y=0]-[QLine=139],BusStop_2:[x=8 ,y=8]-[QLine=14],BusStop_1:[x=0 ,y=8]-[QLine=6]]
87,[Bus_0<man>:[x=8 ,y=2]-[PAX=10],Bus_1<man>:[x=0 ,y=6]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=2]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=2]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=2]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=2]-[PAX=10],Bus_RB_6<robot>:[x=8 ,y=2]-[PAX=10],Bus_RB_7<robot>:[x=0 ,y=6]-[PAX=10],Bus_RB_8<robot>:[x=8 ,y=2]-[PAX=5],Bus_RB_9<robot>:[x=0 ,y=6]-[PAX=2]],[BusStop_0:[x=0 ,y=0]-[QLine=2],BusStop_4:[x=4 ,y=4]-[QLine=172],BusStop_3:[x=8 ,y=0]-[QLine=143],BusStop_2:[x=8 ,y=8]-[QLine=16],BusStop_1:[x=0 ,y=8]-[QLine=9]]
88,[Bus_0<man>:[x=8 ,y=1]-[PAX=10],Bus_1<man>:[x=0 ,y=7]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=1]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=1]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=1]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=1]-[PAX=10],Bus_RB_6<robot>:[x=8 ,y=1]-[PAX=10],Bus_RB_7<robot>:[x=0 ,y=7]-[PAX=10],Bus_RB_8<robot>:[x=8 ,y=1]-[PAX=5],Bus_RB_9<robot>:[x=0 ,y=7]-[PAX=2]],[BusStop_0:[x=0 ,y=0]-[QLine=3],BusStop_4:[x=4 ,y=4]-[QLine=174],BusStop_3:[x=8 ,y=0]-[QLine=146],BusStop_2:[x=8 ,y=8]-[QLine=19],BusStop_1:[x=0 ,y=8]-[QLine=10]]
89,[Bus_0<man>:[x=8 ,y=0]-[PAX=10],Bus_1<man>:[x=0 ,y=8]-[PAX=10],Bus_RB_2<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_3<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_4<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_5<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_6<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_7<robot>:[x=0 ,y=8]-[PAX=10],Bus_RB_8<robot>:[x=8 ,y=0]-[PAX=10],Bus_RB_9<robot>:[x=0 ,y=8]-[PAX=1]],[BusStop_0:[x=0 ,y=0]-[QLine=4],BusStop_4:[x=4 ,y=4]-[QLine=177],BusStop_3:[x=8 ,y=0]-[QLine=114],BusStop_2:[x=8 ,y=8]-[QLine=20],BusStop_1:[x=0 ,y=8]-[QLine=0]]
